SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
2015-16,regular-season,-,48,34,241.8,442.7,15.7,2.5,4.7,53.6,0.8,1.0,83.8,6.0,38.0,9.4,60.0,1.4,14.6,0.7,4.7,0.4,2.6,0
2015-16,regular-season,-,47,34,241.2,439.4,13.0,2.7,5.1,53.6,0.9,1.3,73.5,6.5,50.5,6.6,50.6,1.0,16.0,0.4,3.2,0.6,4.7,0
2015-16,regular-season,-,21,61,240.9,409.9,19.5,4.4,8.4,52.5,1.4,2.0,73.3,10.5,54.0,8.8,44.9,1.4,15.8,1.0,5.2,0.9,4.5,0
2015-16,regular-season,-,48,34,242.1,414.1,13.0,2.2,4.1,53.7,1.3,1.7,77.9,5.9,45.5,7.4,56.9,1.0,13.1,0.5,3.6,0.8,5.9,0
2015-16,regular-season,-,42,40,242.7,428.5,13.9,2.8,5.4,51.4,0.9,1.3,73.1,6.5,47.1,7.1,50.7,1.1,15.2,0.6,4.2,0.5,3.8,0
2015-16,regular-season,-,57,25,242.1,414.8,12.8,2.2,3.8,57.7,1.0,1.2,77.5,5.5,43.1,7.2,56.3,0.9,13.0,0.7,5.1,0.6,5.0,0
2015-16,regular-season,-,42,40,244.0,449.6,17.7,2.4,4.8,50.5,1.3,1.8,69.6,6.2,35.0,10.6,59.9,1.3,12.0,0.9,5.2,0.8,4.4,0
2015-16,regular-season,-,33,49,241.8,411.1,14.9,3.1,6.0,51.8,1.4,1.9,75.0,7.8,52.3,7.0,47.0,1.1,15.7,0.7,4.5,0.9,5.7,0
2015-16,regular-season,-,44,38,242.4,384.2,12.8,1.8,3.7,48.8,1.1,1.4,77.9,4.8,37.1,7.6,59.5,0.8,10.6,0.5,4.3,0.6,4.8,0
2015-16,regular-season,-,73,9,242.4,446.4,15.2,3.0,5.8,50.8,0.9,1.2,75.0,7.1,46.9,7.4,48.7,1.5,20.0,0.9,5.9,0.5,3.4,0
2015-16,regular-season,-,41,41,241.8,409.4,12.8,2.6,4.4,57.7,0.8,1.5,51.2,6.1,47.6,6.5,51.0,0.9,14.0,0.8,6.1,0.7,5.6,0
2015-16,regular-season,-,45,37,242.4,425.4,17.0,3.2,6.0,53.0,1.3,1.9,68.4,7.9,46.4,8.8,51.4,1.2,13.9,1.0,5.7,0.9,5.2,0
2015-16,regular-season,-,53,29,241.8,405.6,13.9,2.7,5.0,54.0,0.9,1.4,64.6,6.5,46.6,7.0,50.8,1.0,13.7,0.7,5.3,0.6,4.3,0
2015-16,regular-season,-,17,65,240.6,392.7,14.3,2.5,5.1,49.4,0.9,1.1,83.1,6.1,42.6,7.7,53.8,1.1,14.6,0.7,5.0,0.5,3.5,0
